Customer ID,Segment
DV035511,Spices
VL030233,Beverages
XI060063,Frozen Foods
EQ042956,Pets
WV028647,Condiments
LZ016012,Office
TD068892,Snacks
UB006545,Home
MI077636,Electronics
DS088458,Outdoor
BJ097202,Frozen Foods
IE054911,Salads
LY095086,Bakery
BK070785,Salads
XX019740,Bakery
PQ042587,Meat
IK076547,Crafts
KT034728,Beverages
DE053807,Frozen Meals
MG032187,Breakfast
GE099058,Salads
RH078718,Office
GE054896,Garden
FG094679,Travel
AU020860,Unknown
WE015191,Kitchen
CT082216,Footwear
GD051430,Electronics
CS092679,Bakery
HH019414,Dairy
BC098676,Prepared Meals
EL072097,Shirts
EH003110,Fitness
SC091752,Frozen Food
AH043184,Electronics
IA056476,Sweaters
WI076001,Meal Kits
KF007013,Snacks
ZO077373,Travel
CZ054222,Fitness
LI027396,Bakery
AP000049,Safety
HY047879,Home
UI012965,Snacks
IG071259,Meat
OS093484,Shoes
XW065274,Kitchen
LH043536,Condiments
ES011889,Dairy
WX069469,Outdoor
VZ013231,Outerwear
ZU048884,Frozen Foods
FY080136,Outdoor
OS018365,Baking Goods
QC015889,Oils
RV066355,Kitchen
FA035790,Outdoor
KR032421,Snacks
DU007963,Deli
CK064882,Dresses
QA056461,Frozen Foods
YH023012,Bakery
MM027639,Office
SY098673,Home
RU014698,Canned Goods
OK062011,Snacks
PB085687,Snacks
UF054954,Outdoor
BS091864,Snacks
XF023093,Cooking Oils
MT028981,Home Appliances
OI064452,Condiments
EW092810,Meat
OR048214,Condiments
FQ076657,Garden
HB010382,Breakfast
UU017077,Frozen Desserts
KX038689,Snacks
QP099191,Baking
ZK018032,Beverages
PK032320,Home
IZ050669,Beauty
ZU044069,Spices
PD029610,Condiments
EA084656,Frozen Foods
BQ020024,Meat
ON036523,Outdoor
DG084549,Frozen
SH044828,Travel
HC025261,Fitness
UJ056106,Bakery
TF040283,Home
ON085793,Home
KW041893,Outdoor
FL017847,Activewear
AS023969,Vegetables
EZ016172,Footwear
MZ059755,Home
SV087663,Home
LB094313,Garden
FR022820,Pets
PL062395,Outdoor
QJ086664,Home
QP011273,Meat
UD042022,Unknown
FC017934,Dips
QU055720,Garden
DK052714,Condiments
ZD091276,Safety
BE030274,Kitchen
HS084179,Kitchen
YR022592,Electronics
JW093275,Skirts
JD036953,Accessories
NG048278,Spices
IP099218,Fruits
UG081307,Office
VH082132,Home
EG074592,Prepared Meals
XX025759,Kitchen
DA056215,Fitness
FV080737,Office
YG065949,Confectionery
KF020921,Sauces
IU068896,Seafood
MC053747,Bakery
IO007481,Produce
MI051892,Tops
ZG005436,Automotive
KM028653,Office
UT094280,Condiments
IW074591,Prepared Foods
AM087505,Travel
KE097740,Grains
WJ002428,Salad Toppings
LR047669,Outdoor
KD049859,Frozen Foods
OH082802,Unknown
ET081928,Frozen Foods
AI086285,Sides
DM011507,Meat Substitutes
CN007665,Bakery
GQ074380,Deli
QD096193,Produce
VH053108,Kitchen
JK055353,Tops
LZ057158,Baking Goods
OA095700,Baking
PB056769,Health
JJ041546,Beauty
ZT038141,Storage
SC035811,Beverages
FQ085678,Snacks
AZ010927,Frozen Desserts
DP081891,Home
HT032845,Fitness
UQ060377,Dairy Alternatives
DL069151,Music
GL001659,Audio
LR010971,Grains
ZT062653,Gaming
UD058328,Grains
LC070027,Pets
PT027115,Snacks
YY017812,Bakery
UE086249,Home
DM025201,Snacks
FH008167,Frozen Foods
JD087400,Accessories
YL039169,Pets
DB007527,Toys
MQ026669,Condiments
WU037718,Salads
IK020923,Snacks
YZ074670,Tools
GV013637,Health
IB052398,Grains
ON048367,Sports
QA083352,Sauces
IS067894,Accessories
OC075408,Dairy Alternatives
RW041477,Canned Soups
WC070179,Frozen Desserts
TM070339,Condiments
CN088504,Electronics
ME069506,Sides
EQ091946,Condiments
ZE046661,Unknown
LJ093742,Unknown
TP022524,Kitchen
MS069774,Accessories
GS009902,Toys
EP001992,Activewear
QR018108,Baking
GH074116,Kitchen
AO030069,Crafts
RZ091372,Outerwear
KS066223,Canned Goods
OF068322,Condiments
OO095727,Kitchen
VY006474,Condiments
JW081156,Beauty
MG062062,Outdoor
GR028974,Bakery
NL063938,Breakfast
DB069706,Snacks
FB057385,Travel
HQ099406,Kitchen
AZ052103,Office
WD060968,Outerwear
JC064172,Pants
IE078913,Health
VC082663,Outdoor
VG072993,Nuts
ZG023359,Snacks
WN068197,Meats
VS093416,Food
NW031911,Pets
HG027398,Automotive
UD072234,Condiments
NT059759,Condiments
FF057242,Garden
DF037287,Art Supplies
IQ056746,Condiments
LA090979,Fitness
XS071006,Desserts
RK023565,Condiments
WQ052828,Office
VE090029,Outdoor
WG067728,Canned Goods
ZC050595,Automotive
AZ097587,Home
BT027523,Accessories
PV023147,Condiments
VN096733,Outdoor
VB070907,Home
QP008397,Health
ZN096535,Clothing
MZ028353,Home
FO087533,Condiments
ZV019823,Produce
UF084710,Snacks
QT054547,Toys
PM034573,Spreads
KA066426,Audio
LO011592,Beverages
TQ065665,Travel
OC000381,Kitchen
QV089026,Pets
NI003473,Kitchen
CN044542,Kitchen
CW051396,Snacks
ON002990,Snacks
IR005341,Toys
DS078483,Kitchen
CP050234,Kitchen
CS060883,Snacks
NG091342,Snacks
HH062390,Frozen Meals
ZR069261,Baking
PS010060,Smart Home
RG061998,Outdoor
PC005521,Fitness
TW023701,Unknown
NL024977,Outdoor
QP093451,Baking
BJ071974,Snacks
GH044368,Travel
AI061783,Kitchen
FQ069496,Unknown
OC045781,Home
BF080088,Salads
WI001306,Canned Goods
LG018760,Outdoor
DG054831,Prepared Foods
KE050319,Kitchen
MG006726,Grains
EH051958,Unknown
QW076708,Fitness
YE054365,Snacks
MC047623,Office
UK042725,Kitchen
KI089155,Prepared Foods
SE083704,Pets
OK059668,Frozen Meals
JZ004144,Art Supplies
MG053337,Travel
OF005773,Electronics
XR044405,Kitchen
KO026744,Condiments
SM003639,Outdoor
MY031639,Art Supplies
IR066002,Kitchen
RV058410,Kitchen
BK006288,Electronics
WO032878,Tops
MB036703,Toys
XN095451,Meat
XN030548,Garden
DV074616,Toys
SI013737,Grains
FX008936,Dressings
XY043257,Jumpsuits
FT074520,Outdoor
OS066663,Produce
HV059622,Canned Goods
TB077884,Kitchen
YR037106,Music
ET068053,Beverages
TB024905,Beverages
VY009268,Garden
OZ054329,Snacks
VF050364,Grains
SL008646,Outdoor
KO032054,Meat
WL067890,Home
AI055492,Snacks
VG036239,Meat
QM000750,Bicycles
WQ029470,Condiments
ZG008283,Frozen Foods
AK027382,Garden
GC044645,Snacks
KE034482,Home Improvement
QU056853,Toys
ZH026809,Garden
GQ006805,Outdoor
HJ046803,Bicycles
FR079188,Bakery
PS061538,Cheese
TT026883,Office
CX043819,Kitchen
JV020938,Frozen Desserts
XS041385,Snacks
TE030635,Computers
CI040986,Kitchen
ND084324,Vegetarian
ER081600,Kitchen
TX016353,Pets
JS015887,Garden
XM060019,Snacks
CM008593,Frozen Food
KS006371,Vegetables
GA046351,Seafood
HH028598,Condiments
BI005400,Outdoor
BV017983,Health
FH010316,Art Supplies
DM054202,Condiments
CJ020981,Breakfast
HT052318,Desserts
UU017281,Pasta
HD083057,Toys
LN083434,Pets
BJ048509,Outdoor
TC059259,Kitchen
HQ041440,Pets
ZD058102,Frozen Foods
WS028428,Dresses
HG039736,Activewear
FA008596,Grains
MC028199,Gaming
SQ020021,Condiments
QX021876,Bakery
YV071393,Soups
YF016486,Crafts
RB058689,Frozen Foods
IC043696,Beverages
TS091132,Garden
LT089054,Kitchen
YJ031445,Breakfast
NA086086,Vegetables
JA013201,Kitchen
ST025617,Frozen
BU037763,Canned Goods
RQ001428,Meat
WX098476,Unknown
HN087906,Garden
IW015212,Office
QO092485,Dairy
IG072578,Electronics
QA056156,Dairy
DG077949,Breakfast
UN049674,Health Foods
IB003332,Accessories
XO043540,Sauces
LF026434,Canned Goods
IR034127,Snacks
YX008923,Salads
XF009015,Safety
AX023223,Condiments
OJ070002,Condiments
FP077912,Frozen Meals
KM010380,Home
CY080029,Snacks
MP039738,Outdoor
PU073770,Clothing
XP047703,Dips
UQ041561,Home
QV002659,Pets
SD058722,Spices
RB087794,Electronics
ST070258,Beverages
PR048585,Automotive
ON087532,Home
MC063078,Baking
GE075251,Garden
NN069494,Unknown
ID044410,Baking
EB020382,Outdoor
IK074906,Garden
ZK040265,Condiments
AN082631,Bakery
EW044272,Clothing
OB060281,Pasta
PA050829,Soups
QH079879,Pasta
UN029150,Bakery
NN020680,Snacks
TS050001,Condiments
KB068044,Baking
BB052572,Pets
TX089640,Outerwear
BB066880,Fitness
BP098394,Snacks
DZ023531,Home
TI089468,Snacks
YG071594,Grains
MU076273,Dried Fruits
RT001473,Accessories
BG041780,Kitchen
VL083988,Seafood
HJ060494,Toys
AZ031509,Electronics
SS011385,Furniture
DC079292,Electronics
IM046831,Prepared Foods
PF020673,Soups
HJ024431,Home
ZI012690,Kitchen
EI066899,Outerwear
CA001530,Bottoms
VN032443,Salads
TZ055834,Kitchen
LQ023488,Beverages
BK071778,Frozen Foods
BC021992,Produce
SJ093928,Dairy
KN081054,Dairy
UQ072061,Fitness
DC012809,Clothing
UV068800,Pasta
PV059813,Sides
UT075766,Meal Kits
AY077572,Produce
NK041669,Grocery
CU022928,Frozen Foods
XA024137,Outdoor
JM093006,Pasta
EG007010,Snacks
TO031732,Home Appliances
XB009407,Outdoor
OR084810,Baking & Cooking
LE096161,Shirts
VA029829,Condiments
IB011406,Beauty
IN090564,Music
AK060338,Snacks
VY052710,Accessories
GD009361,Bakery
QV096048,Electronics
QL014779,Snacks
NW002733,Art Supplies
RO053923,Bottoms
US021421,Unknown
HO054448,Breakfast
VN053890,Condiments
TU097281,Office
BS082621,Baked Goods
TY072354,Accessories
RM099500,Photography
HW036564,Clothing
PE086541,Meat
JH085942,Outdoor
TV011085,Baking
RI069894,Dairy
DO033037,Kitchen
SL054004,Home Appliances
TJ027077,Kitchen
NM018346,Garden
ST096711,Frozen Foods
OA038346,Activewear
ZN022267,Electronics
MS079836,Garden
YA035366,Sides
LH092415,Kitchen
OB095351,Fitness
PI019771,Automotive
XK084873,Kitchen
VO033812,Outdoor
QV040850,Outdoor
NJ003936,Pets
ZK023557,Fitness
WE040394,Smart Home
TR039952,Accessories
GZ076830,Baking
EE008914,Dairy
DX009532,Audio
BB040839,Cereals
NQ012592,Frozen Meals
ML088845,Accessories
NV075312,Kitchen
DX081067,Smart Home
SG001338,Beverages
VL091300,Meat Alternatives
MV082790,Bathroom
NX088510,Pets
EJ013555,Deli Meats
VO007288,Produce
AF019285,Meat
WK003264,Bottoms
OL032772,Pasta
IU070986,Beverages
NK062797,Baking Goods
WI096964,Gaming
WY056153,Home
UE005686,Breakfast
FX082593,Kitchen
LQ034862,Outdoor
HU071636,Fitness
TU074841,Cereals
KF000783,Office
ZD092860,Pets
DT019771,Grains
BB069028,Spreads
SR096075,Electronics
HW000008,Gourmet Rice
SB024310,Meat
UZ002058,Home
GT071613,Snacks
AX069026,Home
HJ026970,Soups
HQ023430,Bags
MY094022,Kitchen
UR098924,Health
ZX004486,Kitchen
II051569,Beverages
WK092369,Meat
PB010207,Snacks
CN039794,Accessories
XS016671,Canned Goods
QH024668,Canned Goods
RI031264,Seafood
BS024490,Fitness
WT084998,Snacks
QO024751,Fitness
SC069071,Toys
JO052743,Tops
UW077123,Snacks
OZ012109,Home
WT058790,Snacks
OJ080479,Accessories
HJ006190,Beauty
GL088592,Fitness
KH039882,Outdoor
DM035468,Cooking Oil
CN030440,Meat & Poultry
AD017673,Snacks
XZ010402,Oils & Vinegars
CY049651,Pets
DV041444,Beauty
RK091281,Home
BH009963,Produce
VS016651,Home
FM067933,Beauty
OF015688,Frozen Food
UT007875,Snacks
CD028083,Soups
ON040564,Toys
MU091976,Accessories
KS059528,Home
XH043014,Unknown
HE071631,Home
OD043412,Produce
WW015228,Frozen
HV019230,Prepared Foods
SK025091,Snacks
AM074484,Shirts
FK057149,Sauces
CO084555,Kitchen
NY015731,Gaming
BE037041,Frozen Foods
WI001565,Breakfast
KA049557,Outdoor
AM051796,Baking
FU020103,Condiments
NE072843,Produce
PL019616,Frozen
CN022315,Spices
YV012185,Kitchen
UN035957,Kitchen
LT006441,Health
NI025124,Snacks
VS019486,Home
TL018221,Pasta
BU095410,Home
WO042258,Soups
SG050745,Dairy
KA083039,Kitchen
UX070690,Snacks
NJ058700,Vegetables
BE033170,Canned Goods
UF016951,Dairy
UJ044231,Outerwear
CW024266,Office
KW071085,Audio
IF076535,Fitness
EG020433,Pets
LE077334,Garden
OO019114,Fitness
ZM096349,Unknown
HR022991,Kitchen
CY092341,Outdoor
YN000504,Audio
PQ079827,Outdoor
ZP076215,Produce
GL023239,Snacks
IX039478,Produce
OP052267,Home
VD041122,Snacks
JH027246,Health
JX093141,Vegetables
US065332,Accessories
TV093817,Kitchen
UH020305,Condiments
ZP067856,Snacks
AB096777,Health
IZ041233,Snacks
HP088099,Beverages
BG017774,Baking
QR088578,Photography
DI072036,Electronics
PT063534,Footwear
JB063602,Fitness
QD000055,Garden
ML060791,Meat
FE082197,Condiments
TN018015,Garden
HK081970,Frozen Food
VD043710,Frozen Foods
OD062195,Baking
HU035037,Canned Goods
OF051138,Frozen Foods
RT015937,Beverages
MP053511,Health
KG064314,Toys
TV076688,Dairy
NL035212,Outdoor
WB014883,Electronics
ZH028698,Smart Home
NU031894,Footwear
ZN007702,Electronics
QC069684,Kitchen
UI025016,Frozen Foods
FD061951,Condiments
WQ050928,Baking Goods
DN020744,Pets
FJ084048,Prepared Meals
CY012864,Seafood
QP036940,Pets
MN019433,Bottoms
MD006931,Kitchen
ES056286,Photography
ZI082420,Fitness
DH074723,Unknown
FS055715,Garden
AI008633,Kitchen
WP043997,Food
AG068508,Footwear
GR033260,Accessories
RW001493,Automotive
AH071849,Canned Goods
BM069215,Household
EZ005059,Home
ML033957,Automotive
EY083295,Home
IM044650,Kitchen
UO042002,Condiments
DJ041197,Pets
WZ014136,Home
VU031210,Home
KJ002476,Tops
HP015456,Baby
XB052719,Sauces
HN089985,Kitchen
VF013578,Kitchen
SS091192,Kitchen
XG076037,Outdoor
ZG019693,Home
LS048805,Bakery
UC075007,Baking
YM089156,Kitchen
OS069096,Electronics
GE015518,Smart Home
NW022043,Books
EH020972,Kitchen
EQ058718,Accessories
FC077811,Meat
KR024064,Prepared Foods
ID047198,Fitness
BE061647,Toys
EI086296,Canned Goods
RZ048453,Furniture
DJ089474,Frozen Desserts
WA005888,Fresh Produce
CU077945,Condiments
XV019141,Snacks
NY009702,Condiments
HO095696,Home
RL088597,Vegetables
MJ023223,Tools
NJ066973,Tools
KM030821,Snacks
ON084409,Loungewear
KU064350,Health
QB095004,Art Supplies
RI023058,Accessories
JE056872,Meat
LJ002087,Condiments
HI017121,Accessories
RD009368,Dairy
IC037857,Outdoor
VD020504,Snacks
EY052169,Kitchen
SV090268,Health/Protein
BB018473,Outdoor
AB037649,Frozen Foods
WM050284,Home
DO073476,Home
LI092422,Grains
KW089672,Protein
MT070563,Prepared Meals
HM028057,Kitchen
VB010167,Fitness
PB030441,Home
MH079894,Frozen Foods
PD039339,Automotive
TM016470,Accessories
DB032017,Outdoor
UB055620,Accessories
TA075580,Activewear
MA015531,Pasta
OK019350,Prepared Foods
WK027931,Outdoor
DS052517,Toys
FO090266,Fitness
CI022677,Outerwear
JW090494,Sauces
CD025751,Outdoor
TJ065170,Office
MJ046433,Outdoor
JA071946,Home
LQ030733,Fresh Produce
GK002281,Beverages
SV028385,Condiments
BY084090,Garden
EK001315,Art Supplies
OL051265,Beverages
TB033346,Beverages
UK084853,Electronics
XY099559,Audio
QK011998,Produce
JP014893,Electronics
ET066631,Home
UK043146,Snacks
TL087585,Garden
FF005406,Accessories
OD068167,Kitchen
KM060085,Kitchen
EU072161,Toys
FE005308,Condiments
OF065082,Condiments
XZ039413,Pets
QE055904,Coats
ZN044266,Health
JA043818,Home
LC083926,Canned Goods
UP033830,Home
RB085862,Dairy Alternatives
UV014614,Accessories
LN093720,Beverages
OZ010719,Bakery
QH097165,Snacks
TV027066,Unknown
JX088983,Kitchen
VH069825,Smart Home
FE068654,Office
SV020317,Snacks
YE085512,Home
JF082197,Toys
TW046151,Snacks
NY000158,Kitchen
DE037740,Kitchen
TG057492,Dairy
RV094330,Outdoor
VQ022764,Outdoor
BF011946,Nuts
GR013853,Seafood
FX024302,Oils & Vinegars
DC062483,Frozen
XR053256,Baking
BY015380,Frozen Desserts
MA071301,Prepared Meals
GB048497,Meal Kits
WQ026223,Outdoor
OH052826,Kitchen
WP005240,Breakfast
KP075796,Frozen Foods
RV066355,Baking Goods
WI076001,Fitness
QR018108,Garden
AM087505,Sides
MI051892,Kitchen
DS078483,Garden
LJ099998,Outdoor
PW078874,Outdoor
VS093416,Toys
IU068896,Furniture
KS066223,Health
GT094069,Snacks
XW060260,Pasta
CS062668,Automotive
IB052398,Home
LM010826,Kitchen
DT034609,Meat
IQ056746,Outdoor
PS010060,Home
SQ012620,Baked Goods
JW093275,Health
LJ099998,Home
QY049868,Furniture
MS069774,Kitchen
CK064882,Garden
EC082879,Audio
YL065975,Beverages
BK070785,Seafood
HL006234,Condiments
RG074102,Frozen Food
TD068892,Dried Fruits
EC073665,Condiments
FL017847,Bakery
XT059837,Books
IS067894,Home
BS041004,Baking
YJ078139,Automotive
QR018108,Tops
BC098676,Frozen Foods
GR028974,Crafts
JX027350,Meat & Poultry
VL030233,Prepared Meals
LW071445,Breakfast
XI060063,Unknown
AC032117,Snacks
RW041477,Pets
TI096309,Outdoor
YR022592,Snacks
LV083814,Bottoms
CP050234,Accessories
VH068058,Garden
EL072097,Meat
KO026009,Dairy
AC082690,Unknown
NV061613,Garden
VC082663,Toys
IW074591,Travel
KA066426,Pets
YC016347,Sauces
SK069393,Pets
MQ026669,Salads
AG018641,Art Supplies
GF083063,Kitchen
CV050185,Pets
UD058328,Music
RJ028775,Beverages
NS050281,Shirts
UJ056106,Condiments
XJ066938,Unknown
QN014838,Outdoor
AI086285,Bottoms
FB017220,Household
YR022592,Vegetables
VY088461,Outdoor
HH019414,Bakery
ON036523,Canned Goods
DP081891,Frozen Foods
FR010822,Toys
IZ050669,Outdoor
XE095413,Accessories
FL017847,Books
FR010822,Footwear
OX028733,Meat
LT063474,Accessories
OF068322,Spices
BH051558,Home
YK006641,Tools
ON002990,Condiments
DP081891,Automotive
JC064172,Bakery
NG091342,Safety
KP021070,Computers
JY078378,Baking
IM018779,Canned Goods
OS093484,Outdoor
DT034609,Outdoor
BE030274,Snacks
TD022773,Kitchen
LI027396,Prepared Meals
UD072234,Fitness
NH032711,Office
IT060395,Home
GA094839,Frozen
ES037170,Kitchen
UF084710,Smart Home
GV013637,Kitchen
IL085160,Automotive
LT073005,Dips
EA084656,Beverages
MI077636,Fitness
HY047879,Breakfast
XW065274,Office
GV013637,Pets
BD074505,Health
UQ060377,Unknown
ON002990,Kitchen
CW051396,Clothing
UX079399,Snacks
DF037287,Smart Home
PC005521,Kitchen
FH008167,Condiments
OO095727,Crafts
EC023699,Home
MJ019298,Home Appliances
DI067107,Beverages
YO052337,Unknown
OA095700,Frozen Foods
AM087505,Pets
VH068058,Canned Goods
JJ088756,Condiments
AI061783,Dried Fruits
GL001659,Meal Kits
ON048367,Pets
CY070612,Frozen Vegetables
ZK018032,Seafood
ES037170,Frozen Meals
WE015191,Snacks
DO001772,Cooking Oil
TF040283,Grains
TL094123,Outdoor
UD042022,Footwear
EE025228,Photography
XX019740,Breakfast
MC022478,Electronics
RG061998,Kitchen
JW093275,Sauces
NH032711,Beverages
HY047879,Electronics
YE056156,Electronics
HQ099406,Dairy
XQ042731,Soups
AP095673,Household
WE015191,Outdoor
JX035609,Frozen Food
LY095086,Beverages
LE047809,Photography
FR010822,Vegetables
VL030233,Dairy
JK073255,Toys
GU068229,Snacks
HH062390,Prepared Foods
ZO077373,Meat & Poultry
ZT038141,Fitness
LA090979,Pets
UF034417,Snacks
VB070907,Frozen Meals
TV097382,Pasta
MR095188,Deli Meats
ZU044069,Garden
TD068892,Grocery
CS092679,Snacks
QC015889,Outerwear
YB068814,Outdoor
LY032208,Tops
TV097382,Bathroom
DM025201,Kitchen
QZ098914,Snacks
ZU048884,Apps
EZ016172,Art Supplies
WV028647,Automotive
TD068892,Frozen Meals
CX034161,Frozen Foods
BE030274,Automotive
BE030274,Canned Goods
LT073005,Outdoor
OA076119,Home
NO061115,Health
EZ016172,Home
EH003110,Snacks
FR008830,Unknown
CI029431,Toys
OC000381,Home
OS093484,Outerwear
RH091056,Accessories
RG074102,Health
KA066426,Travel
VY088461,Tops
MM027639,Home
BK006338,Health
WW058734,Snacks
AI086285,Snacks
IJ021121,Electronics
DE053807,Kitchen
LZ016012,Accessories
IK020923,Frozen Foods
AI061783,Accessories
CM032751,Garden
GQ074380,Frozen Foods
XP059026,Condiments
OA095700,Desserts
UE086249,Prepared Foods
GU068229,Produce
XW060260,Audio
GO006694,Activewear
HU066299,Snacks
GL049016,Beverages
WM098875,Snacks
KP075796,Canned Goods
VH053108,Frozen Meals
OS093484,Sauces
SZ015455,Snacks
CM032751,Apps
DG015801,Outdoor
TI096309,Apps
BW040945,Home
CZ054222,Canned Goods
UJ056106,Canned Goods
MM027639,Home Appliances
DU053934,Kitchen
PW078874,Tops
YY017812,Baking
HF000394,Beverages
LI027396,Meal Kits
KF007013,Canned Goods
ES011889,Health
RU014698,Meat
MC022478,Kitchen
ZG005436,Tops
LT063474,Garden
RZ091372,Kitchen
SK069393,Meat
GS009902,Baking & Cooking
SL056460,Kitchen
BW070185,Outdoor
FV080737,Home
CK064882,Tools
CT082216,Fitness
BS091864,Grains
TK000744,Toys
VZ013231,Snacks
VJ044865,Kitchen
TV075977,Automotive
ON002990,Accessories
FQ085678,Meat
WE022231,Seafood
ZX011281,Health
EH003110,Produce
KT034728,Prepared Meals
UT094280,Pets
MR095188,Condiments
KP075796,Deli
WT037292,Crafts
FR008830,Beverages
ON014862,Fitness
ET081928,Garden
GU068229,Outerwear
EC023699,Baking
MQ028717,Outdoor
IB052398,Frozen Foods
HT054255,Grocery
WL011058,Unknown
QZ098914,Spices
LC070027,Bakery
VH053108,Accessories
VQ077263,Bottoms
NL063938,Outdoor
WN068197,Frozen Foods
IR005341,Automotive
NS069640,Dairy Alternatives
CP050234,Outdoor
PC005521,Dried Fruits
XI060063,Pets
GT094069,Produce
DF076925,Produce
DG084549,Electronics
LA090979,Canned Goods
ON014862,Snacks
UM003359,Outdoor
WJ028001,Home
RL033705,Pets
NW031911,Snacks
EO027251,Unknown
QR018108,Prepared Foods
LZ057158,Photography
JA025925,Meat
GE054896,Kitchen
CG060898,Condiments
KP075796,Prepared Meals
XT003630,Garden
ZZ038073,Condiments
BW070185,Salads
RZ091372,Grains
EC023699,Pets
ZV019823,Frozen
KI071073,Canned Goods
KO026009,Frozen Foods
JJ041546,Health
ET081928,Outerwear
KI039617,Fitness
VW049815,Baked Goods
VN053462,Canned Goods
DL069151,Accessories
CS062668,Prepared Foods
ZZ038073,Pets
HU066299,Kitchen
OC075408,Outdoor
CN088504,Garden
WL011058,Seafood
MZ059755,Kitchen
VS093416,Snacks
IZ050669,Fitness
HG027398,Home
ZU044069,Health
LT073005,Kitchen
VJ044865,Grocery
GS009902,Condiments
PB063442,Dairy
DS088458,Accessories
IB052398,Desserts
IA020578,Electronics
QP097532,Home
OO095727,Produce
XW065274,Baking
YL006843,Snacks
OS018365,Snacks
WU037718,Smart Home
RK016062,Beverages
YB068814,Outerwear
LV083814,Grains
AU020860,Baking Goods
TD068892,Gourmet Rice
BT046086,Pets
RG074102,Canned Goods
BC098676,Oils & Vinegars
EC073665,Travel
DT034609,Accessories
BK070785,Produce
QA083352,Kitchen
YE056156,Meat
VA049493,Condiments
LT063474,Soups
VQ077263,Fitness
BQ020024,Health
ON076441,Kitchen
RU058520,Accessories
SO014368,Electronics
VN053462,Snacks
SK069393,Beverages
IZ050669,Office
IT060395,Unknown
LM010826,Frozen Foods
IE078913,Produce
SC035811,Accessories
FB017220,Prepared Foods
JJ041546,Clothing
KX027147,Unknown
XW060260,Loungewear
JJ088756,Frozen Desserts
IK020923,Kitchen
EG074592,Snacks
FX080042,Frozen Meals
XX019740,Audio
